cartodb_id,the_geom,the_geom_webmercator,objectid,id,datetimeoccur,weekday,location,districtoccur,psa,stopcode,stoptype,inside_or_outside,gender,race,age,individual_frisked,individual_searched,individual_arrested,individual_contraband,vehicle_frisked,vehicle_searched,vehicle_contraband,vehicle_contraband_list,individual_contraband_list,mvc_code,mvc_reason,mvc_code_sec,mvc_code_sec_reason,point_x,point_y,on_hin
2357312,0101000020E6100000B70F58BDECCA52C027C9E7D3B2FF4340,0101000020110F0000DCB4FDFED6EB5FC1DEF20503908F5241,2506346,61551588,2022-02-09T16:25:00Z,WEDNESDAY,2400 BLOCK w somerset st,39,3,2702,vehicle,Outside,Male,Black - Non-Latino,26.0,0,0,0,0,0,0,0,,,4303B,"Police observe above vehicle traveling e/b on the 2400 block of somerset st with its center brake light out, stop vehicle for investigation. vehicle vin ran ncic/pcic, no wants, cbi.",,,-75.17069944,39.99764489,False
1710192,0101000020E61000002A37D58357C852C0D119DECD4F064440,0101000020110F00008C0EE6D673E75FC1B7C1AEA1E5965241,1817986,72588763,2022-04-23T21:43:00Z,SATURDAY,600 BLOCK W 64TH AVE,35,1,2701,pedestrian,Outside,Male,Black - Non-Latino,41.0,0,1,1,0,0,0,0,,,,,,,-75.13034149,40.04931043,False
1937674,0101000020E61000008720DEA55ACE52C06B77174146FB4340,0101000020110F00000F252E36AAF15FC196373AB5A88A5241,2073887,794970,2018-09-29T23:45:00Z,SATURDAY,5200 BLOCK RACE,19,2,2702,vehicle,Outside,Male,Black - Non-Latino,22.0,0,0,0,0,0,0,0,,,,,,,-75.22428271,39.96308149,True
991707,0101000020E61000001D2D7BD07BCE52C0C07528B7ABF64340,0101000020110F00006E75578CE2F15FC12D389B218F855241,1050736,813661,2018-10-18T01:35:00Z,WEDNESDAY,6100 BLOCK GRAYS ST,12,1,2702,vehicle,Outside,Male,Black - Non-Latino,30.0,0,0,0,0,0,0,0,,,,,,,-75.22630703,39.92711534,False
1359971,0101000020E6100000A2FDFE83FECC52C04FE538E088FB4340,0101000020110F0000168DB6DF5AEF5FC14A520688F28A5241,1458563,114762792,2023-08-22T17:53:00Z,TUESDAY,4000 BLOCK fairmount ave,16,1,2702,vehicle,Outside,Male,Black - Non-Latino,40.0,0,0,0,0,0,0,0,,,1301(a),Unregistered Vehicle - Greater than 60 days,,,-75.2030344,39.96511462,False
2721821,0101000020E6100000B3EF27B604C452C06BAF0D2E00044440,0101000020110F0000AD588CD21BE05FC1135E0F5255945241,2894922,1480800,2020-03-22T03:47:00Z,SATURDAY,2900 BLOCK LEVICK ST,15,1,2702,vehicle,Outside,Male,Black - Non-Latino,46.0,0,0,0,0,0,0,0,,,,,,,-75.06278757,40.03125549,True
1883565,0101000020E61000002807374294C252C0AF5C90A912034440,0101000020110F000090B9D7F7A9DD5FC1A75FDEE14D935241,2004869,114794254,2023-11-09T17:45:00Z,THURSDAY,4900 BLOCK Disston,15,2,2702,vehicle,Outside,Male,Black - Non-Latino,55.0,0,0,0,0,0,0,0,,,3323(b),Disregard Stop Sign,,,-75.04029899,40.02400703,False
2350659,0101000020E6100000DEC4D2B81ECB52C0B727E541BCFD4340,0101000020110F0000F77766E52BEC5FC125D307E7628D5241,2496578,1154556,2019-07-05T04:15:00Z,FRIDAY,24TH AND MONTGOMERY,22,1,2702,vehicle,Outside,Male,Black - Non-Latino,30.0,0,0,0,0,0,0,0,,,,,,,-75.17375012,39.98230766,False
625326,0101000020E61000004C2235CC94CE52C0A27984C3A0FB4340,0101000020110F00003F6320FC0CF25FC104D485000D8B5241,650968,1137303,2019-06-23T00:55:00Z,SATURDAY,300 BLOCK N 54TH ST,19,2,2702,vehicle,Outside,Male,Black - Non-Latino,19.0,1,0,0,0,1,0,0,,,,,,,-75.22783189,39.96584362,False
1510529,0101000020E6100000CB16079FBFCE52C0C245387705F64340,0101000020110F00008D6694B955F25FC1E2822704D7845241,1613109,94957049,2022-09-11T00:05:00Z,SATURDAY,6500 BLOCK ELMWOOD AVE,12,3,2702,vehicle,Outside,Female,Black - Non-Latino,38.0,0,0,0,0,0,0,0,,,3351-A,POLICE OBSERVED ABOVE VEHICLE DOUBLE PARKED IN THE W/B LANES ON THE 6500 ELMWOOD AVE. BLOCKING SEPTA TROLLEY. DRIVER AND VEHICLE WERE CLEARED THROUGH NCIC/PCIC. VERBAL WARNING WAS ISSUED.,,,-75.23044563,39.9220418,False
2041132,0101000020E61000005A70B33615CE52C017ED757B5EFB4340,0101000020110F00009A55454534F15FC15091028EC38A5241,2149220,745201,2018-08-15T22:46:00Z,WEDNESDAY,N 50TH / HAVERFORD AVE,16,2,2702,vehicle,Outside,Female,White - Non-Latino,30.0,0,0,0,0,0,1,0,,,,,,,-75.22004478,39.96382087,True
927087,0101000020E6100000EA057ED8BBC852C09E6870BE85FF4340,0101000020110F0000B094E0421EE85FC1369CC4075E8F5241,992308,114802092,2023-11-28T21:25:00Z,TUESDAY,300 BLOCK W INDIANA,25,3,2702,vehicle,Outside,Female,White - Latino,28.0,0,0,0,0,0,0,0,,,3323(b),Disregard Stop Sign,,,-75.13646519,39.99626904,False
1772057,0101000020E6100000BAC1ED5CDAC152C08FB0E2335D0A4440,0101000020110F0000D3B4A6346EDC5FC1546863E0649B5241,1867970,52992693,2021-12-13T17:35:00Z,MONDAY,grant and roosevelt,07,2,2702,vehicle,Outside,Female,Asian,35.0,0,0,0,0,0,0,0,,,,,,,-75.02895282,40.08096931,True
2297388,0101000020E6100000C02D7147ECC952C0ACB331E15DF94340,0101000020110F000061663B5F23EA5FC161A7599B8B885241,2444230,615550,2018-04-25T11:49:00Z,WEDNESDAY,800 BLOCK WALNUT ST,06,3,2702,vehicle,Outside,Male,Black - Non-Latino,40.0,0,0,0,0,0,0,0,,,,,,,-75.15504633,39.94817748,True
13406,0101000020E6100000F940D93141C752C0945333528CFF4340,0101000020110F00009073A1159BE55FC1BF146D52658F5241,12291,595368,2018-04-09T23:30:00Z,MONDAY,1800 BLOCK e allegheny av,24,1,2702,vehicle,Outside,Male,Black - Non-Latino,35.0,0,0,0,0,0,0,0,,,,,,,-75.11335417,39.99646976,True
13406,0101000020E6100000F940D93141C752C0945333528CFF4340,0101000020110F00009073A1159BE55FC1BF146D52658F5241,12291,595368,2018-04-09T23:30:00Z,MONDAY,1800 BLOCK e allegheny av,24,1,2702,vehicle,Outside,Male,Black - Non-Latino,35.0,0,0,0,0,0,0,0,,,,,,,-75.11335417,39.99646976,True
